Emirate Name En|Emirate Name Ar|Issuance Authority En|Issuance Authority Ar|Issuance Authority Branch En|Issuance Authority Branch Ar|BL #|BL CBLS #|BL Name Ar|BL Name En|BL Est Date|BL Exp Date|BL Status EN|BL Status AR|BL Legal Type En|BL Legal Type Ar|BL Type En|BL Type Ar|BL Full Address|License Latitude|License Longitude|License Branch Flag|Parent Licence - License Number|Parent License Issuance Authority En|Parent License Issuance Authority Ar|Relationship Type En|Relationship Type Ar|Owner Nationality En|Owner Nationality Ar|Owner Gender|Business Activity Code|Business Activity Desc En|Business Activity Desc Ar|license_pk
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-329974|CBLS-28131|PLC Services ﻱﻭﺍﺪﻴﺻ ﺔﻛﺮﺷ|White-Ford Services|12/06/2016|21/09/2017|Active|نشط|LLC|ذ.م.م|Professional|مهني|32677 Michelle Circle South Aaron, MS 35261|24.3481°N|54.6023°E|Y||||Partner|شريك|Emirati|إماراتي|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|bf376af7e6c6d9b40a80e7ea4c155550
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-503457|CBLS-60019|Industries ﻲﻤﻠﻌﻟﺍ and ﻥﺎﻴﻠﻋ ,ﻢﺠﻧ ﺔﻛﺮﺷ|Mitchell-Horton Industries|14/05/2017|16/04/2018|Active|نشط|LLC|ذ.م.م|Industrial|صناعي|805 Brendan Neck North Susan, CO 24857|25.2988°N|55.2116°E|Y||||Owner|مالك|Other|آخر|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|a615e1ba237191e16b6a433e130c14cf
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-905934|CBLS-94012|Inc Manufacturing ﺔﻌﻴﺑﺭ ﺔﻛﺮﺷ|Larson Ltd Manufacturing|18/11/2024|03/12/2025|Expired|منتهي الصلاحية|Civil Company|شركة مدنية|Industrial|صناعي|169 Donovan Ford Johnfurt, DC 88540|25.0335°N|55.1739°E|N|BL-854639|||Owner|مالك|Emirati|إماراتي|Female|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|9f080b41cbd5c3a8f25c6b58d41d8b66
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-632342|CBLS-23947|Group Trading ﺭﺎﻤﻧﺃ ﺔﻛﺮﺷ|Evans, Stewart and Walton Trading|05/09/2021|09/10/2022|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|83842 Ibarra Gardens Justinmouth, MP 71701|25.3842°N|55.5015°E|N|||دائرة التنمية الاقتصادية في الشارقة|Partner|شريك|Indian|هندي|Female|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|a415fbd00ec705ce5ca365dd0dbce83f
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-100599|CBLS-88504|FZE ﺓﺮﻤﺿ ﻮﻨﺑ and ﺏﺎﻓﺮﻴﻣ ,ﺭﺎﻤﻧﺃ ﺔﻛﺮﺷ|Turner, Riggs and Roman FZE|13/10/2024|01/10/2025|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Commercial|تجاري|1182 Campbell Fords Jamesview, NY 64533|25.1466°N|55.0447°E|N|BL-945964|||Partner|شريك|Indian|هندي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|66e998604034abe5c8c044814667beab
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-189814|CBLS-73699|LLC Industries ﻡﻮﻤﺳ ﺔﻛﺮﺷ|Whitehead-Mathis Industries|28/11/2015|18/11/2016|Active|نشط|LLC|ذ.م.م|Industrial|صناعي|427 Hoffman Creek Lake Rebeccaside, AZ 48894|25.2934°N|55.2131°E|N||Department of Economic Development||Owner|مالك|Indian|هندي|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|2edcac56f0b1a9106485edf034d17565
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-736059|CBLS-65461|FZE ﻲﻠﻴﺒﺟ-ﻡﺎﻣﻻﺍ ﺔﻛﺮﺷ|Tran, Jordan and Williams FZE|27/07/2017|21/07/2018|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|8692 Michelle Union South Angel, WA 44041|25.2787°N|55.3021°E|N||||Partner|شريك|Other|آخر|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|7f8ebf4adcfd6a6547f43e3d6b1be8a0
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-559381|CBLS-77839|and Sons Services ﺙﺭﺎﺤﻟﺍ ﻦﺑ ﺮﻤﺣﻷﺍ ﻮﻨﺑ ﺔﻛﺮﺷ|Pham-Shields Services|05/05/2023|13/05/2024|Active|نشط|Sole Establishment|مؤسسة فردية|Professional|مهني|3375 Hoover Well East Andrew, ID 52728|24.2363°N|54.3899°E|N||||Owner|مالك|Egyptian|مصري|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|ff84b727822e48d1d70ac701f7331812
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-842225|CBLS-92719|Trading ﻡﻮﻘﺒﻟﺍ ﻞﻳﺬﻫ ﺔﻠﻴﺒﻗ-ﻢﻴﻤﺗ ﺔﻛﺮﺷ|Ramirez-Jones Trading|19/06/2019|20/06/2020|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|Unit 8501 Box 4294 DPO AE 14709|25.3229°N|55.5811°E|Y||||Partner|شريك|Pakistani|باكستاني|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|f63d2c84a4ded300e7457953d64da098
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-665427|CBLS-27342|Trading ﺔﻀﻴﻤﺣ and ﺓﺩﺎﺴﻟﺍ ,ﻥﺎﻄﺤﻗ ﺔﻛﺮﺷ|Hamilton, Chandler and Edwards Trading|18/06/2024|02/06/2025|Expired|منتهي الصلاحية|LLC|ذ.م.م|Commercial|تجاري|608 Michael Cliff Cindyville, VA 39864|25.1729°N|55.0972°E|N||||Manager|مدير|Indian|هندي|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|8aa95a6289e6ff1f95d0d8b45a2547da
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-544154|CBLS-63883|Services ﻲﻣﺎﺸﻟﺍ-ﺏﺎﻓﺮﻴﻣ ﺔﻛﺮﺷ|Parker, Ortiz and Powell Services|21/05/2017|27/05/2018|Active|نشط|LLC|ذ.م.م|Professional|مهني|299 Sullivan Village Apt. 443 Floydmouth, NH 58406|25.3864°N|55.4108°E|N||||Manager|مدير|Emirati|إماراتي|Female|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|2ef7dc5074b1e99a3899d9ca473fc8b3
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-360735|CBLS-35112|Trading ﺪﻳﺯ ﻮﻨﺑ and ﻱﺪﻟﺎﺨﻟﺍ ,ﻲﻟﻮﺟﺮﻘﻟﺍ ﺔﻛﺮﺷ|Lowe-Dixon Trading|15/08/2020|23/09/2021|Active|نشط|Civil Company|شركة مدنية|Commercial|تجاري|34332 Brandon Mountains Apt. 769 Lake Heather, NM 52884|24.3609°N|54.3561°E|N||||Partner|شريك|Other|آخر|Female|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|7a249a7299b604ac402473214d327669
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-202664|CBLS-16630|Group Management ﺏﺎﺑﺮﻟﺍ ﺔﻛﺮﺷ|Hernandez Ltd Management|28/08/2017|05/09/2018|Active|نشط|LLC|ذ.م.م|Professional|مهني|83172 Contreras Points Suite 798 Rivasside, NV 21362|25.2508°N|55.3876°E|Y||||Partner|شريك|Pakistani|باكستاني|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|907f6cc3fecbf2847959913d1e2d57fd
Dubai|دبي|Dubai Silicon Oasis Authority|سلطة واحة دبي للسيليكون|Main|رئيسي|BL-520521|CBLS-17685|Trading ﻱﻭﺎﻜﻋ and ﻮﺒﻴﻠﻗ ,ﺭﺎﺠﻨﻟﺍ ﻮﻨﺑ ﺔﻛﺮﺷ|Hensley, Cole and Walton Trading|25/09/2021|03/09/2022|Active|نشط|Sole Establishment|مؤسسة فردية|Commercial|تجاري|434 Flores Plains East Edwardfurt, UT 20529|25.1137°N|55.3941°E|N||||Partner|شريك|Egyptian|مصري|Female|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|73382cef9a396c70eda1439917b34739
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-921414|CBLS-82845|FZE ﻲﺠﻨﺗﻮﺘﻟﺍ-ﻥﺍﺮﻫﺯ ﺔﻛﺮﺷ|Lewis, Perry and Rivera FZE|15/07/2017|18/06/2018|Cancelled|ملغاة|LLC|ذ.م.م|Commercial|تجاري|670 Evans Loaf Medinaside, AS 79570|25.0464°N|55.1187°E|Y||||Partner|شريك|Other|آخر|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|bf83766b57bd98a1977ec7fa0ee03e02
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-152578|CBLS-86569|Trading ﺩﺯﻷﺍ-ﻱﻭﺎﻜﻋ ﺔﻛﺮﺷ|Freeman LLC Trading|11/05/2019|15/04/2020|Active|نشط|Sole Establishment|مؤسسة فردية|Commercial|تجاري|272 Rebecca Ramp Apt. 162 Whiteview, MS 43407|25.1509°N|55.3411°E|N|BL-184002|||Partner|شريك|Emirati|إماراتي|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|f383949689be348951b0d14557fedc4b
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-808011|CBLS-40828|Industries ﻢﻴﻠﺳ-ﺔﻔﻴﻨﺣ ﻮﻨﺑ ﺔﻛﺮﺷ|Gibson LLC Industries|28/12/2017|21/12/2018|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Industrial|صناعي|805 Debra Tunnel Port Anthonybury, ID 03172|25.0360°N|55.3561°E|N||||Manager|مدير|Indian|هندي|Female|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|8da1a663b1a1272431d9c3eea389d870
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-692683|CBLS-78522|FZE ﻥﺮﻘﻠﺑ and ﻒﻴﻄﻠﻟﺍ ﺪﺒﻋ ,ﺐﻴﻘﻨﻟﺍ ﺔﻛﺮﺷ|Hernandez, Martinez and Caldwell FZE|19/02/2023|11/03/2024|Expired|منتهي الصلاحية|LLC|ذ.م.م|Commercial|تجاري|41904 Sanders Stravenue North Brittany, MP 82714|25.3935°N|55.4409°E|N||||Manager|مدير|Emirati|إماراتي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|f9ad60fc66b28aadb0dd9c88a9fec4a9
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-579434|CBLS-51441|LLC ﺔﻴﻣﺎﺒﻟﺍ and ﻞﻳﺬﻫ ,ﻱﺭﻭﺮﺴﻟﺍ ﺔﻛﺮﺷ|Garcia LLC LLC|09/12/2018|10/12/2019|Expired|منتهي الصلاحية|Sole Establishment|مؤسسة فردية|Commercial|تجاري|85067 Ryan Lake Suite 262 Christinaside, WI 63873|24.2028°N|54.5485°E|N||||Owner|مالك|British|بريطاني|Female|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|5b89e9d1b7b6f6fcf9998943d18f08d3
Dubai|دبي|DMCC|مركز دبي للسلع المتعددة|Main|رئيسي|BL-465962|CBLS-19016|Consultancy ﺔﻳﺮﻳﺪﺑ-ﻱﺪﻬﻣ ﻮﻨﺑ ﺔﻛﺮﺷ|Graham-Simon Consultancy|10/10/2023|04/09/2024|Expired|منتهي الصلاحية|Free Zone Establishment|مؤسسة منطقة حرة|Professional|مهني|79965 Troy Islands Apt. 735 Matthewview, OH 01831|25.1109°N|55.0631°E|Y|||مركز دبي للسلع المتعددة|Partner|شريك|Pakistani|باكستاني|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|3f925d58467d3d4c4954af759230d382
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-654634|CBLS-11025|Management ﻲﻧﻭﺪﻤﺤﺑ-ﻢﺠﻧ ﺔﻛﺮﺷ|Vaughan, Miller and Cortez Management|17/05/2022|07/05/2023|Active|نشط|LLC|ذ.م.م|Professional|مهني|0143 Holt Inlet Suite 788 Ronaldside, MA 46613|24.2898°N|54.5654°E|Y||||Owner|مالك|Pakistani|باكستاني|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|e6f012e62f60c55bbe804237ce0198f3
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-262998|CBLS-45697|Management ﻱﺭﻭﺮﺴﻟﺍ and ﻡﻻ ﻮﻨﺑ ,ﻲﻧﺎﻤﻟﺍ ﺔﻛﺮﺷ|Chavez, Parker and Hall Management|24/11/2022|16/12/2023|Active|نشط|LLC|ذ.م.م|Professional|مهني|USNS Lee FPO AP 63965|25.1814°N|55.2870°E|N||||Owner|مالك|Other|آخر|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|196fc3c35a5cc56541d672f747a30c57
Dubai|دبي|Dubai Silicon Oasis Authority|سلطة واحة دبي للسيليكون|Main|رئيسي|BL-196781|CBLS-93136|Trading ﻲﻟﻮﺘﻤﻟﺍ and ﻢﻴﻟﺪﻟﺍ ,ﺢﺒﺻﺃ ﻱﺫ ﻮﻨﺑ ﺔﻛﺮﺷ|Hardy-Bray Trading|06/06/2018|15/05/2019|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|82400 Terry Crossroad Suite 109 Taylormouth, MA 24665|25.2488°N|55.0176°E|N||Dubai South||Partner|شريك|Pakistani|باكستاني|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|0462ebb9e308742ed9e6d5134319861b
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-678478|CBLS-66057|Group Services ﺔﺸﺒﺠﻟﺍ ﺔﻛﺮﺷ|King Group Services|20/05/2020|26/05/2021|Active|نشط|LLC|ذ.م.م|Professional|مهني|29413 Angela Mall Port Alexandra, NV 58529|25.0029°N|55.0301°E|Y|BL-672092|||Manager|مدير|Emirati|إماراتي|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|8d50ca5d2a5eb62f6894d278e9394218
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-255287|CBLS-66333|FZE ﻲﻫﺮﺘﻟﺍ-ﺔﻳﺪﻨﻫ ﺔﻛﺮﺷ|Dalton-Branch FZE|25/07/2021|14/07/2022|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|341 John Plaza East Aaronmouth, UT 78333|25.3042°N|55.4729°E|Y|BL-141832|||Owner|مالك|Filipino|فلبيني|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|2261cd187f03641477c3387180927bfa
Ras Al Khaimah|رأس الخيمة|Municipality|بلدية|Main|رئيسي|BL-799330|CBLS-23473|Consultancy ﺀﺍﺪﺤﻟﺍ and ﻪﻃ ,ﺢﺒﺻﺃ ﻱﺫ ﻮﻨﺑ ﺔﻛﺮﺷ|Carter-Hall Consultancy|05/05/2022|25/04/2023|Active|نشط|LLC|ذ.م.م|Professional|مهني|PSC 9361, Box 8324 APO AE 09860|25.7560°N|56.0768°E|N|||بلدية|Partner|شريك|Emirati|إماراتي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|1cbab68f0507aaecd9253c9385d0166a
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-938742|CBLS-33206|Trading ﻡﺎﻴﺻ and ﺮﻜﺑ ﻦﺑ ﺚﻴﻟ ﻦﺑ ﺪﻌﺳ ﻮﻨﺑ ,ﺔﻳﺪﻨﻫ ﺔﻛﺮﺷ|Martin LLC Trading|16/09/2016|08/09/2017|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|8877 Carly Meadows Suite 940 East Suzanneshire, OR 03220|25.0074°N|55.2946°E|N|BL-941204|||Owner|مالك|Indian|هندي|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|a767430488d4ce5250f13e0bc68372bd
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-379766|CBLS-30866|PLC Consultancy ﺪﻴﺒﻋ ﺔﻛﺮﺷ|Underwood, Johnston and Hines Consultancy|25/12/2021|19/02/2023|Active|نشط|LLC|ذ.م.م|Professional|مهني|PSC 2967, Box 1756 APO AA 42582|25.1148°N|55.0155°E|N||Department of Economic Development||Partner|شريك|Egyptian|مصري|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|99ee9cbca256b8e606124fc0f68c4be8
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-333752|CBLS-13101|Consultancy ﺢﺟﺍﺭ-ﺮﻜﺑ ﻦﺑ ﺚﻴﻟ ﻦﺑ ﺪﻌﺳ ﻮﻨﺑ ﺔﻛﺮﺷ|Garcia, Martin and Jenkins Consultancy|09/08/2023|10/08/2024|Expired|منتهي الصلاحية|LLC|ذ.م.م|Professional|مهني|54516 Diane Plains Suite 603 Cindyfort, SC 58440|25.1195°N|55.1114°E|N||||Owner|مالك|Indian|هندي|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|1028517d37e011132a1c64111396588c
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-984642|CBLS-80282|Group FZE ﺮﻜﺑ ﻦﺑ ﺚﻴﻟ ﻦﺑ ﺪﻌﺳ ﻮﻨﺑ ﺔﻛﺮﺷ|Harris PLC FZE|10/04/2024|29/03/2025|Cancelled|ملغاة|Free Zone Establishment|مؤسسة منطقة حرة|Commercial|تجاري|932 Pierce Plaza Davisville, NH 15897|25.2818°N|55.0461°E|Y||Department of Economic Development||Owner|مالك|Emirati|إماراتي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|8e7be917da93288070b3bfa86fec07c9
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-725550|CBLS-66959|Trading ﻞﻀﻋ and ﻥﺍﺮﻫﺯ ,ﻞﺋﺪﻟﺍ ﻮﻨﺑ ﺔﻛﺮﺷ|Collier, Jimenez and Moran Trading|09/04/2025|05/05/2026|Active|نشط|Civil Company|شركة مدنية|Commercial|تجاري|3982 Joshua Turnpike Morganhaven, KY 00837|25.2186°N|55.1255°E|N||||Partner|شريك|Emirati|إماراتي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|f3b92bfbc3f008a21dbd65f2c48334f5
Abu Dhabi|أبو ظبي|ADGM|سوق أبوظبي العالمي|Main|رئيسي|BL-146542|CBLS-67154|Services ﻲﺴﻠﺑﺍﺮﻃ and ﻲﻠﺴﻌﻟﺍ ,ﻞﺋﺍﻭ ﻦﺑ ﺰﻨﻋ ﺔﻛﺮﺷ|Barber-Monroe Services|07/11/2020|24/10/2021|Expired|منتهي الصلاحية|LLC|ذ.م.م|Professional|مهني|5339 Hall Trail Suite 057 Hughesberg, NM 05353|24.3560°N|54.6226°E|N|BL-872840|||Partner|شريك|Emirati|إماراتي|Female|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|8dc54076d2581220d46702b44781b858
Umm Al Quwain|أم القيوين|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-796503|CBLS-53279|Trading ﻲﻧﺍﺪﻴﺻ-ﻢﻴﻟﺪﻟﺍ ﺔﻛﺮﺷ|Shaw PLC Trading|18/06/2016|28/05/2017|Expired|منتهي الصلاحية|Civil Company|شركة مدنية|Commercial|تجاري|PSC 0262, Box 1745 APO AP 91295|25.5314°N|55.6696°E|N||||Partner|شريك|Indian|هندي|Female|702000|Management consultancy activities|أنشطة استشارات الإدارة|191e653dcc3e6f08e1d11abd8b93b97e
